Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AADI,Aadi Bioscience Inc,N/A,790.0%,0,N/A,N/A,$0.00,$193.05,0,N/A,,$14.77,6.8
AAN,Aarons Company Inc (The),Industrials,"1,261.0%",0.03713543033,N/A,N/A,$0.47,$389.76,N/A,N/A,,$15.97,7.42
AAON,AAON Inc.,Industrials,"9,534.0%",0.005018624186,N/A,N/A,$0.48,"$5,176.96",43,21.8%,,$104.06,51.07
AAT,American Assets Trust Inc,Real Estate,"1,808.0%",0.07300884956,3.1%,4.1%,$1.27,"$1,097.76",22,197.4%,,$29.26,15.77
ABCB,Ameris Bancorp,Financial Services,"3,330.0%",0.01791972671,0.0%,8.4%,$0.60,"$2,310.15",7,12.7%,,$53.85,28.33
ABCL,AbCellera Biologics Inc,N/A,731.0%,0,N/A,N/A,$0.00,"$2,110.60",0,N/A,,$14.97,5.53
ABG,Asbury Automotive Group Inc,Consumer Cyclical,"22,836.0%",0,N/A,N/A,$0.00,"$4,917.52",5,0.0%,,$253.67,138.88
ABM,ABM Industries Inc.,Industrials,"4,053.0%",0.02171231187,12.8%,4.7%,$0.82,"$2,680.90",14,28.1%,,$49.47,37.13
ABR,Arbor Realty Trust Inc.,Real Estate,"1,365.0%",0.1230769231,7.7%,22.9%,$1.52,"$2,472.85",8,102.7%,,$14.61,9.77
ABSI,Absci Corp,N/A,177.0%,0,N/A,N/A,$0.00,$163.73,0,N/A,,$7.04,1.13
ABUS,Arbutus Biopharma Corp,Healthcare,241.0%,0,N/A,N/A,$0.00,$400.38,N/A,0.0%,,$3.15,1.85
AC,Associated Capital Group Inc,Financial Services,"3,501.0%",0.005704646012,N/A,N/A,$0.20,$102.37,0,N/A,,$44.26,30.92
ACA,Arcosa Inc,Industrials,"7,159.0%",0.002790163322,N/A,N/A,$0.20,"$3,464.96",12,3.5%,,$76.29,43.41
ACAD,Acadia Pharmaceuticals Inc,Healthcare,"2,451.0%",0,N/A,N/A,$0.00,"$3,986.06",N/A,0.0%,,$26.04,13.73
ACCD,Accolade Inc,N/A,"1,266.0%",0,N/A,N/A,$0.00,$932.21,0,N/A,,$17.01,6.83
ACCO,Acco Brands Corporation,Industrials,498.0%,0.05898804444,0.0%,4.6%,$0.29,$472.69,N/A,N/A,,$6.90,4.09
ACEL,Accel Entertainment Inc,Consumer Cyclical,"1,028.0%",0,N/A,N/A,$0.00,$884.13,0,N/A,,$12.18,7.26
ACET,Adicet Bio Inc,N/A,473.0%,0,N/A,N/A,$0.00,$203.19,0,N/A,,$21.87,4.18
ACHR,Archer Aviation Inc,N/A,338.0%,0,N/A,N/A,$0.00,$624.60,0,N/A,,$4.98,1.62
ACIW,ACI Worldwide Inc,Technology,"2,165.0%",0,N/A,N/A,$0.00,"$2,344.70",25,0.0%,,$29.35,19.68
ACLS,Axcelis Technologies Inc,Technology,"16,847.0%",0,N/A,N/A,$0.00,"$5,510.84",29,0.0%,,$184.41,46.41
ACLX,Arcellx Inc,N/A,"3,328.0%",0,N/A,N/A,$0.00,"$1,597.44",0,N/A,,$48.92,15.63
ACMR,ACM Research Inc,Technology,"1,177.0%",0,N/A,N/A,$0.00,$645.62,12,0.0%,,$20.24,5.46
ACNB,ACNB Corp.,Financial Services,"3,383.0%",0.0319159858,7.7%,4.0%,$1.08,$288.34,0,N/A,0.8,$40.25,26.52
ACRE,Ares Commercial Real Estate Corp,Real Estate,996.0%,0.1325301205,-93.9%,-42.9%,$1.34,$544.54,76,"1,006.7%",,$13.50,7.52
ACRS,Aclaris Therapeutics Inc,Healthcare,"1,025.0%",0,N/A,N/A,$0.00,$724.46,N/A,0.0%,,$18.96,5.77
ACRV,Acrivon Therapeutics Inc,N/A,"1,365.0%",0,N/A,N/A,$0.00,$299.29,0,N/A,,$25.47,8.06
ACT,Enact Holdings Inc,NaN,"2,483.0%",0.02304648713,N/A,N/A,$0.57,"$4,012.05",0,N/A,0.7,$27.69,19.73
ACVA,ACV Auctions Inc,N/A,"1,717.0%",0,N/A,N/A,$0.00,"$2,225.17",0,N/A,,$18.59,6.1
ADC,Agree Realty Corp.,Real Estate,"6,503.0%",0.04551745348,1.2%,1.4%,$2.82,"$6,060.69",40,157.4%,,$78.01,61.82
ADEA,Adeia Inc,N/A,"1,037.0%",0.01915573212,N/A,N/A,$0.20,"$1,102.70",0,N/A,0.3,$17.11,6.38
ADMA,Adma Biologics Inc,Healthcare,387.0%,0,N/A,N/A,$0.00,$860.20,0,N/A,,$4.30,1.9
ADNT,Adient plc,Consumer Cyclical,"3,613.0%",0,N/A,N/A,$0.00,"$3,421.57",285,0.0%,,$47.50,27.15
ADPT,Adaptive Biotechnologies Corp,Healthcare,694.0%,0,N/A,N/A,$0.00,"$1,001.52",N/A,0.0%,,$13.21,5.96
ADTH,AdTheorent Holding Company Inc,N/A,175.0%,0,N/A,N/A,$0.00,$153.67,0,N/A,,$3.67,1.2
ADTN,ADTRAN Holdings Inc,Technology,999.0%,0.03535225831,0.0%,0.0%,$0.35,$785.77,0,N/A,,$24.71,7.74
ADUS,Addus HomeCare Corporation,Healthcare,"9,121.0%",0,N/A,N/A,$0.00,"$1,478.00",29,0.0%,,$114.99,77.3
ADV,Advantage Solutions Inc.,N/A,224.0%,0,N/A,N/A,$0.00,$726.11,0,N/A,,$4.64,1.13
AEIS,Advanced Energy Industries Inc.,Industrials,"10,510.0%",0.003796654439,N/A,N/A,$0.40,"$3,944.80",20,7.8%,1.3,$109.22,67.19
AEL,American Equity Investment Life Holding Co,Financial Services,"4,067.0%",0.009343496435,N/A,N/A,$0.36,"$3,169.87",7,6.9%,,$48.37,28.05
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,"1,147.0%",0.02429691592,N/A,N/A,$0.28,"$2,264.77",20,49.7%,,$16.97,9.39
AEVA,Aeva Technologies Inc,N/A,118.0%,0,N/A,N/A,$0.00,$260.03,0,N/A,,$4.64,0.8901
AFCG,AFC Gamma Inc,N/A,"1,281.0%",0.1648053764,N/A,N/A,$2.11,$262.05,0,N/A,,$16.94,9.91
AFMD,Affimed N.V.,Healthcare,65.0%,0,N/A,N/A,$0.00,$97.12,0,N/A,,$3.40,0.5502
AGEN,Agenus Inc,Healthcare,173.0%,0,N/A,N/A,$0.00,$603.56,N/A,0.0%,1.7,$3.24,1.25
AGIO,Agios Pharmaceuticals Inc,Healthcare,"2,680.0%",0,N/A,N/A,$0.00,"$1,489.57",1,0.0%,,$34.76,19.43
AGM,Federal Agricultural Mortgage Corp.,Financial Services,"14,097.0%",0.03121231468,15.8%,13.7%,$4.05,"$1,438.48",10,29.4%,,$152.41,89.43
AGTI,Agiliti Inc,N/A,"1,599.0%",0,N/A,N/A,$0.00,"$2,150.02",161,0.0%,,$22.53,14.15
AGX,"Argan, Inc.",Industrials,"3,866.0%",0.02560963935,0.0%,0.0%,$0.99,$518.46,19,49.3%,,$45.27,30.62
AGYS,"Agilysys, Inc",Technology,"6,483.0%",0,N/A,N/A,$0.00,"$1,642.54",129,0.0%,,$88.16,38.32
AHCO,AdaptHealth Corp,Healthcare,953.0%,0,N/A,N/A,$0.00,"$1,278.66",32,0.0%,,$27.48,9.4
AHH,Armada Hoffler Properties Inc,Real Estate,"1,147.0%",0.06297343071,N/A,N/A,$0.72,$779.26,13,84.5%,,$13.90,9.71
AHT,Ashford Hospitality Trust Inc,Real Estate,353.0%,0,N/A,N/A,$0.00,$121.71,N/A,0.0%,,$12.09,2.61
AI,C3.ai Inc,Real Estate,"3,339.0%",0,N/A,N/A,$0.00,"$3,743.46",N/A,0.0%,,$48.87,10.16
AIN,Albany International Corp.,Consumer Cyclical,"8,954.0%",0.01067861081,19.0%,8.0%,$0.96,"$2,793.65",29,31.5%,,$114.74,75.68
AIP,Arteris Inc,N/A,654.0%,0,N/A,N/A,$0.00,$231.31,0,N/A,,$9.07,3.27
AIR,AAR Corp.,Industrials,"5,512.0%",0,N/A,N/A,$0.00,"$1,913.04",21,0.0%,,$57.48,33.75
AIRS,Airsculpt Technologies Inc,N/A,780.0%,0,N/A,N/A,$0.00,$442.92,0,N/A,,$11.26,2.69
AIT,Applied Industrial Technologies Inc.,Industrials,"13,702.0%",0.0102174865,2.9%,3.1%,$1.37,"$5,296.39",16,16.1%,,$148.65,87.15
AIV,Apartment Investment & Management Co.,Real Estate,797.0%,0,N/A,N/A,$0.00,"$1,184.47",20,0.0%,,$9.77,6.06
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,"5,494.0%",0,N/A,N/A,$0.00,"$4,436.89",60,0.0%,,$56.80,38.48
AKA,a.k.a. Brands Holding Corp,N/A,41.0%,0,N/A,N/A,$0.00,$52.94,0,N/A,,$3.23,0.3
AKR,Acadia Realty Trust,Real Estate,"1,347.0%",0.05345211581,N/A,N/A,$0.71,"$1,282.51",N/A,N/A,,$17.40,11.96
AKRO,Akero Therapeutics Inc,Healthcare,"5,083.0%",0,N/A,N/A,$0.00,"$2,546.58",0,N/A,,$58.38,9.26
AKTS,Akoustis Technologies Inc,Technology,303.0%,0,N/A,N/A,$0.00,$217.07,0,N/A,,$5.24,2.28
AKYA,Akoya Biosciences Inc,N/A,696.0%,0,N/A,N/A,$0.00,$267.26,0,N/A,,$16.57,4.28
ALCO,Alico Inc.,Consumer Defensive,"2,546.0%",0.02347987871,-90.0%,-3.6%,$0.60,$193.63,N/A,N/A,,$37.08,22.58
ALE,"Allete, Inc.",Utilities,"5,823.0%",0.04653958441,4.2%,3.9%,$2.61,"$3,337.52",18,82.1%,,$65.97,46.22
ALEC,Alector Inc,Healthcare,718.0%,0,N/A,N/A,$0.00,$598.47,0,N/A,,$13.50,5.76
ALEX,Alexander & Baldwin Inc.,Real Estate,"1,771.0%",0.04881390948,N/A,N/A,$0.86,"$1,285.64",N/A,N/A,,$20.02,15.25
ALG,Alamo Group Inc.,Industrials,"18,143.0%",0.004404124128,22.2%,14.9%,$0.80,"$2,177.35",19,8.2%,,$186.76,110.52
ALGT,Allegiant Travel,Industrials,"11,912.0%",0,N/A,N/A,$0.00,"$2,195.26",34,0.0%,,$125.74,62.94
ALHC,Alignment Healthcare Inc,N/A,610.0%,0,N/A,N/A,$0.00,"$1,149.13",0,N/A,,$19.17,4.88
ALIT,Alight Inc.,N/A,883.0%,0,N/A,N/A,$0.00,"$4,390.58",N/A,0.0%,,$10.19,6.31
ALKS,Alkermes plc,Healthcare,"3,334.0%",0,N/A,N/A,$0.00,"$5,538.49",N/A,0.0%,,$33.67,21.75
ALKT,Alkami Technology Inc,N/A,"1,561.0%",0,N/A,N/A,$0.00,"$1,449.62",0,N/A,,$17.71,10.7
ALLO,Allogene Therapeutics Inc,Healthcare,475.0%,0,N/A,N/A,$0.00,$692.75,0,N/A,,$17.49,4.3
ALPN,Alpine Immune Sciences Inc,Healthcare,"1,116.0%",0,N/A,N/A,$0.00,$535.30,0,N/A,,$12.04,4.82
ALRM,Alarm.com Holdings Inc,Technology,"4,850.0%",0,N/A,N/A,$0.00,"$2,417.21",39,0.0%,,$78.99,44.92
ALRS,Alerus Financial Corp,Financial Services,"1,798.0%",0.04226918799,5.6%,7.9%,$0.71,$362.51,0,N/A,0.9,$24.51,12.84
ALTG,Alta Equipment Group Inc,Industrials,"1,633.0%",0.01388260151,N/A,N/A,$0.23,$528.57,0,N/A,,$20.52,8.51
ALTO,Alto Ingredients Inc,N/A,241.0%,0,N/A,N/A,$0.00,$183.41,N/A,0.0%,,$5.30,1.2
ALTR,Altair Engineering Inc,Technology,"7,173.0%",0,N/A,N/A,$0.00,"$3,830.38",N/A,0.0%,,$78.49,43.17
ALVR,AlloVir Inc,N/A,328.0%,0,N/A,N/A,$0.00,$306.98,0,N/A,,$10.29,2.99
ALX,Alexander`s Inc.,Real Estate,"17,752.0%",0.09807234081,0.0%,0.0%,$17.41,$906.65,17,164.2%,,$244.51,155.6
ALXO,Alx Oncology Holdings Inc,N/A,775.0%,0,N/A,N/A,$0.00,$316.74,0,N/A,,$15.39,4.23
AMAL,Amalgamated Financial Corp,Financial Services,"1,597.0%",0.02471963215,N/A,N/A,$0.39,$488.87,0,N/A,0.5,$26.85,14
AMBA,Ambarella Inc,Technology,"7,840.0%",0,N/A,N/A,$0.00,"$2,987.04",N/A,0.0%,,$99.86,49.02
AMBC,AMBAC Financial Group Inc.,Financial Services,"1,364.0%",0,N/A,N/A,$0.00,$618.19,1,0.0%,,$17.75,10.84
AMCX,AMC Networks Inc,Communication Services,"1,063.0%",0,N/A,N/A,$0.00,$340.37,49,0.0%,,$33.35,10.3
AMEH,Apollo Medical Holdings Inc,Healthcare,"2,968.0%",0,N/A,N/A,$0.00,"$1,708.00",35,0.0%,,$58.00,26.89
AMK,Assetmark Financial Holdings Inc,Financial Services,"2,793.0%",0,N/A,N/A,$0.00,"$2,064.70",0,N/A,,$33.00,16.88
AMKR,AMKOR Technology Inc.,Technology,"2,590.0%",0.01059824567,N/A,N/A,$0.27,"$6,361.04",10,10.6%,,$31.29,14.77
AMLX,Amylyx Pharmaceuticals Inc,N/A,"2,306.0%",0,N/A,N/A,$0.00,"$1,549.08",0,N/A,,$41.93,15.8
AMN,AMN Healthcare Services Inc.,Healthcare,"10,390.0%",0,N/A,N/A,$0.00,"$4,119.15",11,0.0%,,$129.04,81.15
AMNB,American National Bankshares Inc.,Financial Services,"2,944.0%",0.03919640101,7.1%,3.7%,$1.15,$312.81,9,35.5%,0.7,$37.64,24.72
AMOT,Allied Motion Technologies Inc,Technology,"3,894.0%",0.00269179697,20.0%,0.0%,$0.10,$629.47,0,N/A,1.2,$44.77,22.29
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,"5,716.0%",0,N/A,N/A,$0.00,"$2,759.34",30,0.0%,,$58.70,26.76
AMPL,Amplitude Inc,N/A,"1,063.0%",0,N/A,N/A,$0.00,$848.90,0,N/A,,$19.24,8.5
AMPS,Altus Power Inc,N/A,516.0%,0,N/A,N/A,$0.00,$820.44,0,N/A,,$14.72,4.08
AMPY,Amplify Energy Corp.,Energy,646.0%,0,N/A,N/A,$0.00,$251.76,0,N/A,,$10.38,5.49
AMR,Alpha Metallurgical Resources Inc,N/A,"16,501.0%",0.01048869159,N/A,N/A,$1.73,"$2,388.31",0,N/A,,$182.35,99.57
AMRC,Ameresco Inc.,Industrials,"4,713.0%",0,N/A,N/A,$0.00,"$1,608.14",0,N/A,,$76.54,39.62
AMRK,A-Mark Precious Metals Inc,Financial Services,"3,604.0%",0.01649625115,N/A,N/A,$0.59,$838.31,0,N/A,0.7,$40.48,23.17
AMRS,Amyris Inc,Basic Materials,110.0%,0,N/A,N/A,$0.00,$406.32,0,N/A,,$4.86,0.5522
AMRX,Amneal Pharmaceuticals Inc,Healthcare,288.0%,0,N/A,N/A,$0.00,$441.61,N/A,0.0%,,$3.71,1.24
AMSF,Amerisafe Inc,Financial Services,"5,219.0%",0.02456579877,9.7%,6.3%,$1.28,$999.52,18,44.4%,0.5,$59.01,43.35
AMSWA,American Software Inc.,Technology,"1,042.0%",0.04172805046,0.0%,0.0%,$0.43,$333.00,0,N/A,,$18.91,10.11
AMTB,Amerant Bancorp Inc,Financial Services,"1,828.0%",0.01948568458,N/A,N/A,$0.36,$618.11,0,N/A,0.8,$30.56,15.62
AMTX,Aemetis Inc,Energy,561.0%,0,N/A,N/A,$0.00,$205.83,0,N/A,,$11.50,1.16
AMWD,American Woodmark Corp.,Consumer Cyclical,"6,985.0%",0,N/A,N/A,$0.00,"$1,161.98",15,0.0%,,$73.00,41.05
AMWL,American Well Corporation,N/A,212.0%,0,N/A,N/A,$0.00,$518.65,0,N/A,,$5.43,1.95
ANAB,AnaptysBio Inc,Healthcare,"2,024.0%",0,N/A,N/A,$0.00,$536.10,N/A,0.0%,,$32.44,18.01
ANDE,Andersons Inc.,Consumer Defensive,"4,524.0%",0.01635720601,2.8%,2.3%,$0.72,"$1,526.05",14,22.4%,,$46.27,28.89
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,"3,693.0%",0,N/A,N/A,$0.00,"$1,848.90",52,0.0%,,$37.96,14.02
ANGO,Angiodynamic Inc,Healthcare,"1,086.0%",0,N/A,N/A,$0.00,$426.11,N/A,0.0%,,$24.74,8.18
